,IVV,IEF
2003-08-01,0.6404443429090312,0.3595556570909688
2003-09-01,0.7995113540490237,0.20048864595097626
2003-10-01,0.6208077332460521,0.3791922667539479
2003-11-01,0.6291468553470713,0.37085314465292873
2003-12-01,0.656325661115686,0.343674338884314
2004-01-01,0.8037367251381765,0.1962632748618235
2004-02-01,0.8776732492571957,0.1223267507428043
2004-03-01,0.8478298277883052,0.15217017221169482
2004-04-01,0.7619929816550345,0.23800701834496552
2004-05-01,0.8906745659375033,0.10932543406249673
2004-06-01,0.947348816310859,0.05265118368914101
2004-07-01,0.7076809243847995,0.29231907561520054
2004-08-01,0.6489883129806048,0.3510116870193952
2004-09-01,0.6443469087146504,0.3556530912853496
2004-10-01,0.7463950985041939,0.25360490149580606
2004-11-01,0.6786361150100794,0.32136388498992063
2004-12-01,0.700836733402982,0.299163266597018
2005-01-01,0.6359074418840922,0.3640925581159078
2005-02-01,0.6369311352696686,0.3630688647303314
2005-03-01,0.601083191643162,0.39891680835683796
2005-04-01,0.6862411982857375,0.3137588017142625
2005-05-01,0.6626682813999596,0.3373317186000404
2005-06-01,0.509356065098199,0.490643934901801
2005-07-01,0.700018347423003,0.29998165257699705
2005-08-01,0.685376263094804,0.31462373690519596
2005-09-01,0.4949917565500954,0.5050082434499046
2005-10-01,0.32304083011367,0.67695916988633
2005-11-01,0.3548185922317716,0.6451814077682284
2005-12-01,0.5037086324884035,0.4962913675115965
2006-01-01,0.3541864745548822,0.6458135254451178
2006-02-01,0.3588430161127929,0.6411569838872071
2006-03-01,0.3917648303253519,0.6082351696746481
2006-04-01,0.6077869348836926,0.3922130651163074
2006-05-01,0.5312615178761113,0.4687384821238887
2006-06-01,0.5829537940866263,0.4170462059133737
2006-07-01,0.6949592591512517,0.3050407408487483
2006-08-01,0.7679853998115119,0.23201460018848807
2006-09-01,0.7658408749427928,0.23415912505720715
2006-10-01,0.758815609192331,0.24118439080766896
2006-11-01,0.7738528666976746,0.2261471333023254
