Date,CAPE
1881.01,18.4739523
1881.02,18.14725816
1881.03,18.27011914
1881.04,17.95010828
1881.05,18.86971869
1881.06,19.02871073
1881.07,18.11636719
1881.08,17.28624355
1881.09,16.72483665
1881.1,16.26198941
1881.11,16.47864232
1881.12,15.95875421
1882.01,15.67876416
1882.02,15.15386153
1882.03,15.0916703
1882.04,14.91699717
1882.05,14.5671032
1882.06,14.32740489
1882.07,15.24055976
1882.08,15.52542933
1882.09,16.08110662
1882.1,15.75558103
1882.11,15.19267031
1882.12,15.38212833
1883.01,15.27025912
1883.02,14.75759015
1883.03,15.05125412
1883.04,15.48206722
1883.05,15.33549764
1883.06,15.90338839
1883.07,15.94878313
1883.08,15.19681088
1883.09,15.49469243
1883.1,15.04805627
1883.11,15.40821814
1883.12,14.89640394
1884.01,14.43282172
1884.02,14.80596023
1884.03,14.73602345
1884.04,14.35345368
1884.05,13.46505031
1884.06,12.90687648
1884.07,13.04393159
1884.08,13.85981334
1884.09,13.56915474
1884.1,13.27325132
1884.11,13.3044376
1884.12,13.43229275
1885.01,13.12981743
1885.02,13.38481759
1885.03,13.73419409
1885.04,13.54854854
1885.05,13.71137187
1885.06,13.97878437
1885.07,14.32665878
1885.08,15.1304108
1885.09,15.11628503
1885.1,15.99102396
1885.11,16.8240345
1885.12,16.30447595
1886.01,16.69231747
1886.02,17.00664826
1886.03,16.8432661
1886.04,16.80171613
1886.05,16.86319552
1886.06,17.83149406
1886.07,17.84584504
1886.08,17.7239128
1886.09,18.14714393
1886.1,18.56238134
1886.11,18.96831263
1886.12,18.19405756
1887.01,17.5122221
1887.02,17.1253666
1887.03,17.47321371
1887.04,17.82298364
1887.05,18.07544543
1887.06,17.70769566
1887.07,17.43146054
1887.08,16.73984961
1887.09,16.67662967
1887.1,15.88066681
1887.11,15.9507122
1887.12,15.45551345
1888.01,15.35866251
1888.02,15.41817832
1888.03,14.80897237
1888.04,15.02010868
1888.05,15.38791696
1888.06,15.07762882
1888.07,15.27964252
1888.08,15.60291167
1888.09,15.98782882
1888.1,15.71594187
1888.11,15.22374902
1888.12,14.9467483
1889.01,15.80228607
1889.02,16.19272045
1889.03,16.06504536
1889.04,16.05010453
1889.05,16.91542108
1889.06,17.21930294
1889.07,16.88921449
1889.08,17.13185398
1889.09,17.35078803
1889.1,17.0532144
1889.11,16.90602117
1889.12,16.61033808
1890.01,17.22007198
1890.02,17.02681498
1890.03,16.90112229
1890.04,17.25785454
1890.05,17.78643049
1890.06,17.68436084
1890.07,17.58929544
1890.08,16.59679113
1890.09,16.169702
1890.1,15.48284916
1890.11,14.74504349
1890.12,14.44299123
1891.01,15.42898009
1891.02,15.47652233
1891.03,15.05162336
1891.04,15.40894513
1891.05,15.56649523
1891.06,15.6582114
1891.07,15.61791924
1891.08,16.16399851
1891.09,17.71126141
1891.1,17.71656859
1891.11,17.67173917
1891.12,18.206303
1892.01,19.0163884
1892.02,19.03642504
1892.03,19.73805485
1892.04,19.94326524
1892.05,19.91146521
1892.06,19.7692844
1892.07,19.21188643
1892.08,19.2043038
1892.09,18.69427181
1892.1,19.04021492
1892.11,18.46331269
1892.12,18.01300925
1893.01,17.65664371
1893.02,17.12519385
1893.03,16.89958903
1893.04,17.10254158
1893.05,15.78098731
1893.06,15.41650386
1893.07,14.34985418
1893.08,14.58805654
1893.09,15.01206908
1893.1,15.27179415
1893.11,15.9424114
1893.12,15.61269434
1894.01,15.73986935
1894.02,16.2027366
1894.03,17.18762209
1894.04,17.43484908
1894.05,16.80875192
1894.06,16.6063197
1894.07,16.28967971
1894.08,16.45777707
1894.09,16.52231544
1894.1,16.50290421
1894.11,16.54278445
1894.12,16.67246633
1895.01,16.52444394
1895.02,16.33123769
1895.03,16.36462543
1895.04,16.38754382
1895.05,17.08036955
1895.06,17.20741354
1895.07,17.54601465
1895.08,18.07407255
1895.09,18.20033595
1895.1,17.94470662
1895.11,17.34299899
1895.12,16.54841516
1896.01,16.57622483
1896.02,17.51540335
1896.03,17.23236271
1896.04,17.64369938
1896.05,17.82826689
1896.06,17.77757862
1896.07,16.6371001
1896.08,15.70337055
1896.09,16.54433994
1896.1,16.4388668
1896.11,17.08942524
1896.12,16.50140418
1897.01,17.02652128
1897.02,16.89402588
1897.03,16.95803072
1897.04,16.69685743
1897.05,17.04775513
1897.06,17.85049728
1897.07,18.65197576
1897.08,19.00639601
1897.09,19.37237029
1897.1,19.02803122
1897.11,18.3584481
1897.12,18.74875766
1898.01,19.24900002
1898.02,18.91813189
1898.03,18.04217492
1898.04,17.70508943
1898.05,17.59563527
1898.06,19.54481748
1898.07,19.85894301
1898.08,20.54491518
1898.09,20.44273286
1898.1,19.94719983
1898.11,20.52741632
1898.12,21.40363199
1899.01,22.93280742
1899.02,23.04811755
1899.03,23.27968225
1899.04,23.15242153
1899.05,22.09126936
1899.06,21.21209193
1899.07,21.56142563
1899.08,21.72623737
1899.09,20.59114051
1899.1,20.15371346
1899.11,20.19645752
1899.12,18.51264964
1900.01,18.67427536
1900.02,18.70379742
1900.03,18.77579342
1900.04,18.93640203
1900.05,18.40319702
1900.06,17.99271158
1900.07,17.68954547
1900.08,18.06961467
1900.09,17.34187415
1900.1,18.10239878
1900.11,19.4195846
1900.12,20.74405116
1901.01,20.97858183
1901.02,21.67914985
1901.03,22.34758395
1901.04,24.40971699
1901.05,23.06401268
1901.06,25.23846621
1901.07,23.14484855
1901.08,23.07717771
1901.09,22.59046832
1901.1,22.25290162
1901.11,22.37507478
1901.12,21.68021514
1902.01,22.3402908
1902.02,22.45995745
1902.03,22.41065229
1902.04,22.8231087
1902.05,22.42795449
1902.06,21.9637423
1902.07,22.38568659
1902.08,23.16867183
1902.09,22.85656638
1902.1,20.6044254
1902.11,20.40854126
1902.12,19.63323213
1903.01,20.31813205
1903.02,20.10705152
1903.03,19.88456038
1903.04,18.9800226
1903.05,18.95485872
1903.06,17.81855172
1903.07,16.91817841
1903.08,16.29911879
1903.09,15.65435912
1903.1,15.25294383
1903.11,15.40787753
